Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,BSH,BSD,BSA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA,Season
E0,16/08/2003,Arsenal,Everton,2,1,H,1.0,0.0,H,M Halsey,11.0,13.0,5.0,7.0,8.0,15.0,6.0,9.0,1.0,3.0,1.0,1.0,1.4,3.8,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003-04
E0,16/08/2003,Birmingham,Tottenham,1,0,H,1.0,0.0,H,R Styles,10.0,15.0,5.0,7.0,20.0,27.0,1.0,4.0,3.0,5.0,0.0,0.0,2.375,3.25,2.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003-04
E0,16/08/2003,Blackburn,Wolves,5,1,H,2.0,0.0,H,J Winter,25.0,8.0,13.0,5.0,8.0,14.0,6.0,2.0,1.0,1.0,0.0,0.0,1.615,3.4,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003-04
E0,16/08/2003,Fulham,Middlesbrough,3,2,H,1.0,1.0,D,G Poll,17.0,8.0,9.0,5.0,18.0,16.0,7.0,6.0,1.0,1.0,0.0,0.0,2.3,3.25,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003-04
E0,16/08/2003,Leicester,Southampton,2,2,D,2.0,0.0,H,M Riley,12.0,13.0,7.0,10.0,27.0,15.0,2.0,7.0,3.0,1.0,0.0,0.0,2.5,3.2,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003-04
E0,16/08/2003,Man United,Bolton,4,0,H,1.0,0.0,H,P Durkin,13.0,15.0,6.0,5.0,12.0,8.0,8.0,4.0,0.0,4.0,0.0,0.0,1.286,4.5,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003-04
E0,16/08/2003,Portsmouth,Aston Villa,2,1,H,1.0,0.0,H,G Barber,4.0,9.0,3.0,5.0,18.0,22.0,7.0,9.0,2.0,1.0,0.0,1.0,2.375,3.25,2.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003-04
E0,17/08/2003,Charlton,Man City,0,3,A,0.0,2.0,A,M Dean,10.0,14.0,5.0,8.0,12.0,16.0,4.0,7.0,2.0,1.0,1.0,0.0,2.25,3.4,2.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003-04
E0,17/08/2003,Leeds,Newcastle,2,2,D,1.0,1.0,D,R Martin,8.0,19.0,3.0,10.0,19.0,16.0,4.0,8.0,4.0,2.0,0.0,0.0,2.75,3.25,2.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003-04
E0,17/08/2003,Liverpool,Chelsea,1,2,A,0.0,1.0,A,S Bennett,12.0,10.0,7.0,6.0,13.0,12.0,8.0,6.0,3.0,1.0,0.0,0.0,2.25,3.25,2.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003-04
E0,23/08/2003,Bolton,Blackburn,2,2,D,2.0,0.0,H,A D'Urso,16.0,10.0,10.0,5.0,11.0,15.0,9.0,2.0,2.0,4.0,0.0,1.0,2.5,3.3,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003-04
E0,23/08/2003,Chelsea,Leicester,2,1,H,2.0,1.0,H,R Styles,17.0,5.0,7.0,1.0,12.0,18.0,7.0,2.0,0.0,3.0,1.0,2.0,1.25,5.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003-04
E0,23/08/2003,Everton,Fulham,3,1,H,3.0,0.0,H,N Barry,10.0,23.0,8.0,15.0,15.0,14.0,4.0,10.0,2.0,4.0,0.0,0.0,1.8,3.4,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003-04
E0,23/08/2003,Man City,Portsmouth,1,1,D,0.0,1.0,A,M Messias,21.0,4.0,11.0,2.0,8.0,22.0,11.0,7.0,2.0,3.0,0.0,0.0,1.667,3.6,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003-04
E0,23/08/2003,Newcastle,Man United,1,2,A,1.0,0.0,H,U Rennie,7.0,11.0,5.0,8.0,18.0,14.0,2.0,4.0,2.0,2.0,0.0,0.0,3.0,3.2,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003-04
E0,23/08/2003,Southampton,Birmingham,0,0,D,0.0,0.0,D,Graham Barber,14.0,12.0,7.0,5.0,15.0,19.0,2.0,7.0,3.0,1.0,0.0,0.0,1.909,3.25,3.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003-04
E0,23/08/2003,Tottenham,Leeds,2,1,H,1.0,1.0,D,S Dunn,20.0,5.0,4.0,2.0,14.0,14.0,6.0,0.0,1.0,2.0,0.0,0.0,2.0,3.25,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003-04
E0,23/08/2003,Wolves,Charlton,0,4,A,0.0,4.0,A,P Dowd,10.0,8.0,4.0,6.0,11.0,7.0,5.0,2.0,2.0,1.0,0.0,1.0,2.375,3.25,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003-04
E0,24/08/2003,Aston Villa,Liverpool,0,0,D,0.0,0.0,D,P Durkin,14.0,15.0,9.0,9.0,16.0,7.0,8.0,9.0,0.0,1.0,0.0,0.0,3.0,3.2,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003-04
E0,24/08/2003,Middlesbrough,Arsenal,0,4,A,0.0,3.0,A,D Gallagher,10.0,14.0,4.0,10.0,11.0,7.0,3.0,5.0,1.0,0.0,0.0,0.0,4.0,3.4,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003-04
E0,25/08/2003,Blackburn,Man City,2,3,A,1.0,1.0,D,A Wiley,14.0,13.0,10.0,5.0,14.0,10.0,9.0,0.0,2.0,1.0,0.0,0.0,2.0,3.25,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003-04
E0,26/08/2003,Charlton,Everton,2,2,D,1.0,1.0,D,S Dunn,10.0,13.0,4.0,4.0,8.0,8.0,6.0,8.0,1.0,1.0,0.0,0.0,2.375,3.2,2.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003-04
E0,26/08/2003,Leeds,Southampton,0,0,D,0.0,0.0,D,P Durkin,15.0,14.0,6.0,8.0,10.0,11.0,6.0,10.0,2.0,3.0,0.0,0.0,2.0,3.25,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003-04
E0,26/08/2003,Leicester,Middlesbrough,0,0,D,0.0,0.0,D,G Barber,12.0,13.0,4.0,3.0,17.0,16.0,6.0,4.0,3.0,2.0,0.0,0.0,2.5,3.2,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003-04
E0,26/08/2003,Portsmouth,Bolton,4,0,H,0.0,0.0,D,D Gallagher,13.0,13.0,8.0,4.0,12.0,14.0,0.0,4.0,2.0,4.0,0.0,0.0,2.1,3.25,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003-04
E0,27/08/2003,Arsenal,Aston Villa,2,0,H,0.0,0.0,D,M Dean,14.0,6.0,6.0,3.0,16.0,16.0,2.0,6.0,3.0,4.0,0.0,0.0,1.286,5.0,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003-04
E0,27/08/2003,Liverpool,Tottenham,0,0,D,0.0,0.0,D,U Rennie,22.0,9.0,10.0,4.0,20.0,27.0,8.0,5.0,2.0,5.0,0.0,0.0,1.5,3.5,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003-04
