Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,BSH,BSD,BSA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA,Season
E0,18/08/2001,Charlton,Everton,1,2,A,0.0,0.0,D,N. S. Barry,8.0,12.0,4.0,9.0,15.0,17.0,4.0,4.0,0.0,3.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001-02
E0,18/08/2001,Derby,Blackburn,2,1,H,1.0,0.0,H,P. A. Durkin,7.0,14.0,3.0,4.0,14.0,15.0,4.0,10.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001-02
E0,18/08/2001,Leeds,Southampton,2,0,H,0.0,0.0,D,C. R. Wilkes ,16.0,11.0,6.0,6.0,16.0,24.0,10.0,3.0,1.0,2.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001-02
E0,18/08/2001,Leicester,Bolton,0,5,A,0.0,4.0,A,R. Styles,6.0,18.0,1.0,8.0,21.0,17.0,3.0,5.0,4.0,3.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001-02
E0,18/08/2001,Liverpool,West Ham,2,1,H,1.0,1.0,D,J. T. Winter,9.0,3.0,6.0,3.0,13.0,12.0,5.0,3.0,1.0,5.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001-02
E0,18/08/2001,Middlesbrough,Arsenal,0,4,A,0.0,1.0,A,G. P. Barber,6.0,14.0,2.0,9.0,13.0,19.0,2.0,6.0,2.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001-02
E0,18/08/2001,Sunderland,Ipswich,1,0,H,1.0,0.0,H,G. Poll,12.0,10.0,6.0,4.0,22.0,20.0,1.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001-02
E0,18/08/2001,Tottenham,Aston Villa,0,0,D,0.0,0.0,D,D. J. Gallagher,8.0,11.0,2.0,2.0,12.0,17.0,6.0,5.0,3.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001-02
E0,19/08/2001,Chelsea,Newcastle,1,1,D,1.0,0.0,H,A. P. D'Urso ,13.0,9.0,8.0,3.0,19.0,20.0,12.0,7.0,3.0,4.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001-02
E0,19/08/2001,Man United,Fulham,3,2,H,1.0,1.0,D,P. Jones ,12.0,8.0,6.0,5.0,17.0,19.0,6.0,4.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001-02
