Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,BSH,BSD,BSA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA,Season
E0,17/08/2002,Blackburn,Sunderland,0,0,D,0.0,0.0,D,D Elleray,15.0,7.0,5.0,3.0,14.0,11.0,9.0,1.0,1.0,2.0,0.0,0.0,1.727,3.25,4.333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002-03
E0,17/08/2002,Charlton,Chelsea,2,3,A,2.0,1.0,H,G Barber,5.0,21.0,5.0,12.0,10.0,12.0,3.0,6.0,0.0,3.0,1.0,0.0,2.8,3.25,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002-03
E0,17/08/2002,Everton,Tottenham,2,2,D,1.0,0.0,H,N Barry,13.0,10.0,9.0,5.0,18.0,4.0,10.0,5.0,1.0,1.0,0.0,0.0,2.25,3.25,2.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002-03
E0,17/08/2002,Fulham,Bolton,4,1,H,3.0,1.0,H,A Wiley,13.0,3.0,6.0,1.0,16.0,12.0,7.0,4.0,1.0,2.0,0.0,0.0,1.727,3.25,4.333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002-03
E0,17/08/2002,Leeds,Man City,3,0,H,2.0,0.0,H,G Poll,13.0,18.0,8.0,10.0,13.0,13.0,2.0,7.0,1.0,1.0,0.0,0.0,1.667,3.4,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002-03
E0,17/08/2002,Man United,West Brom,1,0,H,0.0,0.0,D,S Bennett,20.0,6.0,13.0,5.0,9.0,12.0,9.0,1.0,1.0,1.0,0.0,1.0,1.2,5.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002-03
E0,17/08/2002,Southampton,Middlesbrough,0,0,D,0.0,0.0,D,B Knight,12.0,11.0,5.0,5.0,11.0,14.0,3.0,4.0,0.0,0.0,0.0,0.0,2.25,3.25,2.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002-03
E0,18/08/2002,Arsenal,Birmingham,2,0,H,2.0,0.0,H,M Riley,15.0,7.0,7.0,1.0,6.0,11.0,9.0,2.0,0.0,1.0,0.0,1.0,1.222,5.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002-03
E0,18/08/2002,Aston Villa,Liverpool,0,1,A,0.0,0.0,D,A D'Urso,11.0,12.0,5.0,6.0,9.0,5.0,6.0,8.0,2.0,2.0,0.0,0.0,3.0,3.25,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002-03
E0,19/08/2002,Newcastle,West Ham,4,0,H,0.0,0.0,D,P Durkin,13.0,7.0,10.0,4.0,7.0,9.0,7.0,1.0,1.0,2.0,0.0,0.0,1.571,3.4,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002-03
