Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,BSH,BSD,BSA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA,Season
E0,13/08/2016,Burnley,Swansea,0,1,A,0.0,0.0,D,J Moss,10.0,17.0,3.0,9.0,10.0,14.0,7.0,4.0,3.0,2.0,0.0,0.0,2.4,3.3,3.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-17
E0,13/08/2016,Crystal Palace,West Brom,0,1,A,0.0,0.0,D,C Pawson,14.0,13.0,4.0,3.0,12.0,15.0,3.0,6.0,2.0,2.0,0.0,0.0,2.0,3.3,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-17
E0,13/08/2016,Everton,Tottenham,1,1,D,1.0,0.0,H,M Atkinson,12.0,13.0,6.0,4.0,10.0,14.0,5.0,6.0,0.0,0.0,0.0,0.0,3.2,3.4,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-17
E0,13/08/2016,Hull,Leicester,2,1,H,1.0,0.0,H,M Dean,14.0,18.0,5.0,5.0,8.0,17.0,5.0,3.0,2.0,2.0,0.0,0.0,4.5,3.6,1.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-17
E0,13/08/2016,Man City,Sunderland,2,1,H,1.0,0.0,H,R Madley,16.0,7.0,4.0,3.0,11.0,14.0,9.0,6.0,1.0,2.0,0.0,0.0,1.25,6.5,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-17
E0,13/08/2016,Middlesbrough,Stoke,1,1,D,1.0,0.0,H,K Friend,12.0,12.0,2.0,1.0,18.0,14.0,9.0,6.0,3.0,5.0,0.0,0.0,2.38,3.2,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-17
E0,13/08/2016,Southampton,Watford,1,1,D,0.0,1.0,A,R East,24.0,5.0,6.0,1.0,8.0,12.0,6.0,2.0,1.0,2.0,0.0,1.0,1.8,3.75,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-17
E0,14/08/2016,Arsenal,Liverpool,3,4,A,1.0,1.0,D,M Oliver,9.0,16.0,5.0,7.0,13.0,17.0,5.0,4.0,3.0,3.0,0.0,0.0,2.4,3.5,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-17
E0,14/08/2016,Bournemouth,Man United,1,3,A,0.0,1.0,A,A Marriner,9.0,11.0,3.0,7.0,7.0,10.0,4.0,2.0,0.0,1.0,0.0,0.0,4.75,3.6,1.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-17
E0,15/08/2016,Chelsea,West Ham,2,1,H,0.0,0.0,D,A Taylor,16.0,7.0,6.0,3.0,16.0,16.0,7.0,1.0,5.0,2.0,0.0,0.0,1.65,4.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-17
E0,19/08/2016,Man United,Southampton,2,0,H,1.0,0.0,H,A Taylor,12.0,13.0,5.0,1.0,11.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,1.53,4.2,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-17
E0,20/08/2016,Burnley,Liverpool,2,0,H,2.0,0.0,H,L Mason,3.0,26.0,2.0,5.0,14.0,5.0,1.0,12.0,0.0,1.0,0.0,0.0,6.5,4.2,1.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-17
E0,20/08/2016,Leicester,Arsenal,0,0,D,0.0,0.0,D,M Clattenburg,8.0,13.0,1.0,4.0,11.0,7.0,2.0,7.0,1.0,2.0,0.0,0.0,2.88,3.6,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-17
E0,20/08/2016,Stoke,Man City,1,4,A,0.0,2.0,A,M Dean,8.0,12.0,3.0,6.0,12.0,13.0,7.0,7.0,3.0,4.0,0.0,0.0,5.5,3.8,1.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-17
E0,20/08/2016,Swansea,Hull,0,2,A,0.0,0.0,D,S Attwell,13.0,12.0,3.0,4.0,7.0,10.0,8.0,3.0,0.0,0.0,0.0,0.0,1.8,3.6,5.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-17
E0,20/08/2016,Tottenham,Crystal Palace,1,0,H,0.0,0.0,D,M Oliver,20.0,10.0,5.0,2.0,19.0,9.0,10.0,4.0,3.0,3.0,0.0,0.0,1.45,4.75,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-17
E0,20/08/2016,Watford,Chelsea,1,2,A,0.0,0.0,D,J Moss,6.0,13.0,2.0,4.0,20.0,10.0,0.0,5.0,4.0,3.0,0.0,0.0,5.5,3.8,1.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-17
E0,20/08/2016,West Brom,Everton,1,2,A,1.0,1.0,D,N Swarbrick,11.0,13.0,4.0,7.0,16.0,10.0,7.0,4.0,3.0,1.0,0.0,0.0,3.0,3.25,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-17
E0,21/08/2016,Sunderland,Middlesbrough,1,2,A,0.0,2.0,A,M Atkinson,18.0,8.0,5.0,3.0,11.0,14.0,8.0,1.0,1.0,1.0,0.0,0.0,2.55,3.2,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-17
E0,21/08/2016,West Ham,Bournemouth,1,0,H,0.0,0.0,D,C Pawson,15.0,8.0,2.0,5.0,15.0,15.0,1.0,6.0,3.0,1.0,0.0,1.0,1.95,3.75,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-17
E0,27/08/2016,Chelsea,Burnley,3,0,H,2.0,0.0,H,M Clattenburg,22.0,6.0,10.0,0.0,6.0,9.0,9.0,5.0,2.0,2.0,0.0,0.0,1.25,5.5,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-17
E0,27/08/2016,Crystal Palace,Bournemouth,1,1,D,0.0,1.0,A,M Dean,24.0,10.0,5.0,3.0,15.0,10.0,10.0,4.0,2.0,1.0,0.0,0.0,2.3,3.2,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-17
E0,27/08/2016,Everton,Stoke,1,0,H,0.0,0.0,D,M Oliver,21.0,8.0,9.0,1.0,14.0,11.0,9.0,2.0,2.0,1.0,0.0,0.0,1.73,3.6,5.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-17
