Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,BSH,BSD,BSA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA,Season
E0,19/08/2006,Arsenal,Aston Villa,1,1,D,0.0,0.0,D,G Poll,19.0,5.0,11.0,3.0,10.0,19.0,18.0,1.0,1.0,2.0,0.0,0.0,1.28,4.5,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-07
E0,19/08/2006,Bolton,Tottenham,2,0,H,2.0,0.0,H,P Dowd,8.0,9.0,6.0,6.0,19.0,22.0,6.0,3.0,0.0,1.0,0.0,0.0,2.62,3.2,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-07
E0,19/08/2006,Everton,Watford,2,1,H,1.0,0.0,H,P Walton,6.0,12.0,2.0,8.0,12.0,13.0,0.0,6.0,2.0,2.0,0.0,0.0,1.66,3.4,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-07
E0,19/08/2006,Newcastle,Wigan,2,1,H,1.0,0.0,H,M Atkinson,9.0,14.0,8.0,9.0,17.0,20.0,4.0,11.0,1.0,2.0,0.0,0.0,1.72,3.5,4.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-07
E0,19/08/2006,Portsmouth,Blackburn,3,0,H,1.0,0.0,H,A Wiley,21.0,9.0,16.0,7.0,20.0,17.0,6.0,2.0,2.0,1.0,0.0,2.0,2.3,3.1,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-07
E0,19/08/2006,Reading,Middlesbrough,3,2,H,2.0,2.0,D,M Halsey,14.0,7.0,9.0,5.0,8.0,15.0,8.0,2.0,1.0,3.0,0.0,0.0,2.5,3.1,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-07
E0,19/08/2006,Sheffield United,Liverpool,1,1,D,0.0,0.0,D,R Styles,5.0,12.0,3.0,7.0,10.0,16.0,0.0,12.0,1.0,2.0,0.0,0.0,6.0,3.8,1.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-07
E0,19/08/2006,West Ham,Charlton,3,1,H,0.0,1.0,A,H Webb,16.0,4.0,5.0,2.0,14.0,14.0,6.0,0.0,2.0,2.0,0.0,1.0,2.0,3.2,3.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-07
E0,20/08/2006,Chelsea,Man City,3,0,H,2.0,0.0,H,S Bennett,10.0,5.0,4.0,2.0,7.0,15.0,5.0,2.0,1.0,3.0,0.0,1.0,1.22,5.5,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-07
E0,20/08/2006,Man United,Fulham,5,1,H,4.0,1.0,H,A Marriner,15.0,12.0,7.0,8.0,14.0,20.0,5.0,2.0,1.0,1.0,0.0,0.0,1.22,5.5,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-07
