Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,BSH,BSD,BSA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA,Season
E0,22/08/2010,Newcastle,Aston Villa,6,0,H,3.0,0.0,H,M Atkinson,20.0,3.0,14.0,1.0,15.0,12.0,10.0,2.0,3.0,1.0,0.0,0.0,3.2,3.25,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-11
E0,23/08/2010,Man City,Liverpool,3,0,H,1.0,0.0,H,P Dowd,8.0,13.0,3.0,7.0,13.0,12.0,5.0,4.0,1.0,1.0,0.0,0.0,2.38,3.25,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-11
E0,28/08/2010,Blackburn,Arsenal,1,2,A,1.0,1.0,D,C Foy,15.0,14.0,7.0,9.0,9.0,7.0,4.0,8.0,1.0,0.0,0.0,0.0,6.0,4.0,1.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-11
E0,28/08/2010,Blackpool,Fulham,2,2,D,0.0,1.0,A,M Oliver,14.0,12.0,5.0,7.0,13.0,16.0,4.0,5.0,1.0,0.0,0.0,0.0,3.2,3.25,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-11
E0,28/08/2010,Chelsea,Stoke,2,0,H,1.0,0.0,H,M Atkinson,15.0,9.0,6.0,3.0,5.0,10.0,6.0,1.0,0.0,2.0,0.0,0.0,1.11,9.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-11
E0,28/08/2010,Man United,West Ham,3,0,H,1.0,0.0,H,M Clattenburg,18.0,7.0,11.0,2.0,6.0,11.0,9.0,3.0,1.0,2.0,0.0,0.0,1.14,8.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-11
E0,28/08/2010,Tottenham,Wigan,0,1,A,0.0,0.0,D,P Dowd,12.0,13.0,7.0,5.0,10.0,11.0,16.0,7.0,3.0,2.0,0.0,0.0,1.25,5.75,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-11
E0,28/08/2010,Wolves,Newcastle,1,1,D,1.0,0.0,H,S Attwell,5.0,11.0,2.0,6.0,20.0,17.0,5.0,3.0,7.0,4.0,0.0,0.0,2.4,3.2,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-11
E0,29/08/2010,Aston Villa,Everton,1,0,H,1.0,0.0,H,M Jones,12.0,15.0,6.0,9.0,19.0,10.0,4.0,16.0,4.0,0.0,0.0,0.0,2.5,3.25,2.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-11
E0,29/08/2010,Bolton,Birmingham,2,2,D,0.0,1.0,A,K Friend,11.0,9.0,8.0,5.0,19.0,17.0,6.0,1.0,2.0,3.0,1.0,0.0,2.1,3.3,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-11
E0,29/08/2010,Liverpool,West Brom,1,0,H,0.0,0.0,D,L Probert,11.0,14.0,7.0,5.0,9.0,8.0,7.0,6.0,0.0,0.0,0.0,1.0,1.22,6.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-11
E0,29/08/2010,Sunderland,Man City,1,0,H,0.0,0.0,D,M Dean,12.0,9.0,4.0,7.0,5.0,9.0,3.0,7.0,0.0,3.0,0.0,0.0,4.5,3.5,1.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-11
E0,11/09/2010,Arsenal,Bolton,4,1,H,1.0,1.0,D,S Attwell,23.0,7.0,14.0,6.0,11.0,11.0,9.0,6.0,2.0,2.0,0.0,1.0,1.25,5.5,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-11
E0,11/09/2010,Everton,Man United,3,3,D,1.0,1.0,D,M Atkinson,23.0,13.0,14.0,8.0,11.0,18.0,7.0,5.0,1.0,1.0,0.0,0.0,4.2,3.4,1.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-11
E0,11/09/2010,Fulham,Wolves,2,1,H,0.0,1.0,A,P Dowd,13.0,4.0,6.0,2.0,9.0,17.0,6.0,6.0,3.0,6.0,0.0,1.0,1.83,3.5,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-11
E0,11/09/2010,Man City,Blackburn,1,1,D,0.0,1.0,A,M Clattenburg,20.0,4.0,14.0,2.0,12.0,10.0,14.0,2.0,2.0,1.0,0.0,0.0,1.33,5.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-11
E0,11/09/2010,Newcastle,Blackpool,0,2,A,0.0,1.0,A,L Mason,16.0,7.0,13.0,4.0,15.0,14.0,3.0,2.0,2.0,3.0,0.0,0.0,1.57,4.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-11
